,Biomass,Car exhaust,Coal burning,Industrial emission,Soil and Construction
0,114Cd,108Pd,120Sn+121Sb,107Ag,138Ba+139La+140Ce
1,138Ba+140Ce,114Cd,120Sn+208Pb,133Cs,138Ba+140Ce
2,159Tb,120Sn+138Ba,121Sb,138Ba+139La+140Ce,48Ti+138Ba
3,164Dy,133Cs,121Sb+208Pb,48Ti+133Cs,48Ti+139La+140Ce
4,165Ho,138Ba+208Pb,133Cs,48Ti+54Fe+208Pb,48Ti+140Ce
5,166Er,152Sm,139La+140Ce+208Pb,48Ti+54Fe+63Cu,48Ti+51V+55Mn+54Fe
6,174Yb,153Eu,140Ce+208Pb,48Ti+54Fe+63Cu+133Cs,48Ti+51V+55Mn+54Fe+64Zn+85Rb+138Ba+140Ce
7,175Lu,169Tm,153Eu,48Ti+55Mn+54Fe,48Ti+54Fe+138Ba+139La+140Ce
8,180Hf,180Hf,208Pb,48Ti+55Mn+54Fe+138Ba+208Pb,48Ti+54Fe+139La+140Ce
9,185Re,185Re,48Ti+120Sn,48Ti+55Mn+54Fe+208Pb,48Ti+54Fe+88Sr
10,202Hg,192Os,48Ti+120Sn+121Sb+208Pb,48Ti+55Mn+54Fe+59Co+63Cu+208Pb,48Ti+54Fe+90Zr
11,48Ti+138Ba,193Ir,48Ti+120Sn+208Pb,48Ti+88Sr+138Ba,48Ti+55Mn+208Pb
12,48Ti+54Fe+138Ba,202Hg,48Ti+208Pb,48Ti+88Sr+90Zr+138Ba,48Ti+55Mn+54Fe+85Rb
13,48Ti+54Fe+139La+140Ce,48Ti+55Mn+54Fe+133Cs,48Ti+55Mn+54Fe+120Sn+121Sb+140Ce+208Pb,51V+55Mn+54Fe,48Ti+55Mn+90Zr
14,48Ti+54Fe+140Ce,48Ti+55Mn+54Fe+138Ba+208Pb,48Ti+55Mn+54Fe+120Sn+140Ce+208Pb,53Cr+54Fe,48Ti+55Mn+93Nb
15,48Ti+54Fe+140Ce+208Pb,48Ti+55Mn+54Fe+63Cu+64Zn+69Ga+88Sr+120Sn+138Ba+140Ce+208Pb,48Ti+55Mn+54Fe+120Sn+208Pb,54Fe,48Ti+88Sr
16,48Ti+54Fe+63Cu,48Ti+55Mn+54Fe+85Rb+138Ba,48Ti+55Mn+54Fe+208Pb,54Fe+107Ag,48Ti+88Sr+139La+140Ce
17,48Ti+54Fe+64Zn+88Sr+138Ba,48Ti+64Zn,48Ti+55Mn+54Fe+63Cu+64Zn+120Sn+121Sb+138Ba+140Ce+208Pb,54Fe+140Ce,48Ti+89Y
18,48Ti+54Fe+88Sr+138Ba,48Ti+89Y+90Zr,48Ti+55Mn+54Fe+63Cu+64Zn+120Sn+121Sb+138Ba+208Pb,54Fe+208Pb,48Ti+89Y+90Zr
19,48Ti+55Mn+54Fe+138Ba,53Cr+55Mn+54Fe,48Ti+55Mn+54Fe+63Cu+64Zn+120Sn+121Sb+140Ce+208Pb,54Fe+59Co,48Ti+90Zr+138Ba
20,48Ti+55Mn+54Fe+63Cu+64Zn+138Ba,54Fe+138Ba,48Ti+55Mn+54Fe+63Cu+64Zn+120Sn+121Sb+208Pb,54Fe+59Co+208Pb,51V
21,48Ti+55Mn+54Fe+63Cu+64Zn+88Sr+138Ba,54Fe+60Ni,48Ti+55Mn+54Fe+63Cu+64Zn+120Sn+208Pb,54Fe+59Co+64Zn,51V+54Fe
22,48Ti+55Mn+54Fe+64Zn+138Ba,54Fe+69Ga,48Ti+55Mn+54Fe+63Cu+64Zn+88Sr+120Sn+208Pb,54Fe+63Cu,54Fe+140Ce
23,48Ti+55Mn+54Fe+64Zn+138Ba+140Ce+208Pb,55Mn+54Fe+60Ni,48Ti+55Mn+54Fe+63Cu+64Zn+90Zr+120Sn+208Pb,54Fe+63Cu+208Pb,54Fe+59Co
24,48Ti+55Mn+54Fe+64Zn+88Sr+138Ba,55Mn+54Fe+60Ni+63Cu+64Zn,48Ti+55Mn+54Fe+64Zn+120Sn+121Sb+140Ce+208Pb,54Fe+63Cu+64Zn+208Pb,54Fe+85Rb
25,48Ti+63Cu,55Mn+54Fe+63Cu+64Zn,48Ti+55Mn+54Fe+64Zn+208Pb,55Mn+107Ag,54Fe+88Sr
26,53Cr+63Cu,55Mn+69Ga+120Sn+138Ba+208Pb,48Ti+55Mn+63Cu+64Zn+208Pb,55Mn+138Ba+208Pb,54Fe+90Zr
27,54Fe+140Ce,59Co,48Ti+64Zn,55Mn+208Pb,55Mn+54Fe+138Ba
28,54Fe+64Zn+140Ce,59Co+64Zn,54Fe+120Sn+121Sb+208Pb,55Mn+54Fe,55Mn+54Fe+90Zr+138Ba
29,55Mn+54Fe+64Zn+138Ba,60Ni,54Fe+120Sn+208Pb,55Mn+54Fe+107Ag,55Mn+59Co+140Ce
30,63Cu+138Ba,60Ni+64Zn,54Fe+208Pb,55Mn+54Fe+138Ba,55Mn+88Sr
31,63Cu+140Ce,60Ni+64Zn+208Pb,54Fe+63Cu+208Pb,55Mn+54Fe+139La+140Ce,55Mn+90Zr
32,63Cu+64Zn,63Cu+138Ba+208Pb,54Fe+63Cu+64Zn+120Sn+208Pb,55Mn+54Fe+208Pb,69Ga+138Ba
33,63Cu+64Zn+138Ba,63Cu+64Zn+138Ba+208Pb,54Fe+64Zn+120Sn+208Pb,55Mn+54Fe+59Co,85Rb+138Ba
34,63Cu+88Sr,69Ga,54Fe+64Zn+208Pb,55Mn+54Fe+59Co+208Pb,88Sr+138Ba
35,89Y,98Mo,55Mn+120Sn,55Mn+54Fe+59Co+63Cu+208Pb,89Y+90Zr
36,93Nb,,55Mn+120Sn+208Pb,55Mn+54Fe+63Cu,89Y+90Zr+165Ho+238U
37,,,55Mn+208Pb,55Mn+54Fe+63Cu+208Pb,89Y+90Zr+180Hf+238U
38,,,55Mn+54Fe+120Sn+140Ce+208Pb,55Mn+54Fe+69Ga+138Ba,90Zr+138Ba
39,,,55Mn+54Fe+120Sn+208Pb,55Mn+69Ga+138Ba,90Zr+139La+140Ce
40,,,55Mn+54Fe+121Sb,63Cu+208Pb,
41,,,55Mn+54Fe+121Sb+208Pb,88Sr+138Ba+139La+140Ce+152Sm,
42,,,55Mn+54Fe+140Ce,,
43,,,55Mn+54Fe+208Pb,,
44,,,55Mn+54Fe+63Cu+208Pb,,
45,,,55Mn+54Fe+63Cu+64Zn,,
46,,,55Mn+54Fe+63Cu+64Zn+120Sn,,
47,,,55Mn+54Fe+63Cu+64Zn+120Sn+121Sb+208Pb,,
48,,,55Mn+54Fe+63Cu+64Zn+120Sn+140Ce+208Pb,,
49,,,55Mn+54Fe+63Cu+64Zn+120Sn+208Pb,,
50,,,55Mn+54Fe+63Cu+64Zn+121Sb+208Pb,,
51,,,55Mn+54Fe+63Cu+64Zn+208Pb,,
52,,,55Mn+54Fe+63Cu+64Zn+90Zr+208Pb,,
53,,,55Mn+54Fe+64Zn,,
54,,,55Mn+54Fe+64Zn+120Sn+121Sb+208Pb,,
55,,,55Mn+54Fe+64Zn+120Sn+208Pb,,
56,,,55Mn+54Fe+64Zn+121Sb,,
57,,,55Mn+54Fe+64Zn+208Pb,,
58,,,55Mn+63Cu,,
59,,,55Mn+63Cu+208Pb,,
60,,,55Mn+63Cu+64Zn,,
61,,,55Mn+63Cu+64Zn+120Sn,,
62,,,55Mn+63Cu+64Zn+120Sn+208Pb,,
63,,,55Mn+63Cu+64Zn+208Pb,,
64,,,55Mn+64Zn,,
65,,,55Mn+64Zn+208Pb,,
66,,,63Cu+120Sn,,
67,,,63Cu+208Pb,,
68,,,63Cu+64Zn+120Sn,,
69,,,63Cu+64Zn+208Pb,,
70,,,64Zn+120Sn,,
71,,,64Zn+120Sn+208Pb,,
72,,,64Zn+208Pb,,
73,,,85Rb,,
74,,,88Sr,,
75,,,88Sr+208Pb,,
